Rank,Player,Pos,Team,Gms,WPA,eWPA,cWPA,gbWPA,SH,TO,FT,REB,AST,STL,BLK,kWPA
55,LeBron James,F,LAL,67,2.98,2.08,1.18,0.27,9.19,-6.2,-0.75,4.75,22.2,1.88,0.61,32.41
56,Dennis Schroder,G,OKC,64,2.95,1.87,1.57,0.49,7.48,-4.53,0.57,1.96,7.77,1.02,0.49,14.19
57,Jonas Valanciunas,C,MEM,69,2.94,2.78,0.92,0.76,5.78,-2.85,0.02,7.03,3.65,0.69,1.2,15.5
58,Michael Porter Jr.,F,DEN,53,2.9,1.74,1.39,0.23,3.95,-1.05,0.15,2.63,1.35,0.62,0.55,8.05
59,Tyler Herro,G,MIA,54,2.88,1.08,1.79,0,4.53,-1.65,0.2,1.72,3.71,0.8,0.11,9.21
60,Serge Ibaka,F,TOR,55,2.85,1.51,1.38,0.04,5.51,-2.66,0.06,4.34,3.13,0.55,0.61,11.48
61,Gordon Hayward,F,BOS,52,2.85,2.36,1.01,0.53,5.11,-2.27,0.32,3.06,6.67,0.8,0.38,13.76
62,Daniel Theis,F-C,BOS,65,2.79,2.13,0.85,0.19,4.18,-1.38,0.04,5.12,3.41,0.86,1.85,14.02
63,Kristaps Porzingis,F-C,DAL,57,2.77,2.42,0.5,0.15,5.05,-2.29,0.44,5.17,3.3,1.02,2,14.26
64,Christian Wood,F,DET,61,2.74,3.13,0.74,1.14,4.58,-1.84,-0.23,3.77,1.83,0.54,0.88,9.76
65,Monte Morris,G,DEN,72,2.66,1.29,1.53,0.15,3.86,-1.2,0.18,1.39,8.85,1.3,0.33,14.54
66,Marcus Morris Sr.,F,NYK,43,2.64,2.34,1.2,0.89,4.42,-1.78,0.31,2.22,1.94,0.99,0.29,8.08
67,Jordan Clarkson,G,UTA,40,2.63,1.6,1.08,0.04,3.83,-1.2,0.12,1.1,2.26,0.6,0.09,6.69
68,Buddy Hield,G,SAC,72,2.57,2.54,0.98,0.94,6.89,-4.32,0.37,3.3,5.85,1.77,0.59,14.09
69,Russell Westbrook,G,HOU,57,2.54,-0.5,2.2,-0.85,7.89,-5.34,0.55,4.22,13.86,2.51,0.5,23.62
70,Bryn Forbes,G,SAS,63,2.54,2.19,0.8,0.45,4.32,-1.78,0.18,1.13,2.48,0.63,0,6.77
71,Evan Fournier,G-F,ORL,65,2.52,3.4,-0.28,0.6,5.76,-3.24,0.16,1.4,6.38,1.82,0.21,12.33
72,Pascal Siakam,F,TOR,60,2.5,2.12,1.1,0.72,5.95,-3.45,0.17,3.97,7.16,1.6,0.93,16.17
73,OG Anunoby,F,TOR,69,2.45,1.96,0.57,0.08,4.22,-1.77,-0.14,3.51,3.36,2.35,0.78,12.45
74,Thomas Bryant,C-F,WAS,46,2.44,2.45,0.47,0.48,3.75,-1.31,-0.19,3.19,1.89,0.52,0.75,8.78
75,Derrick White,G,SAS,68,2.44,1.87,0.71,0.14,4.62,-2.18,0.43,2.19,7.4,1.23,1.2,14.45
76,Paul George,F,LAC,47,2.44,2.25,0.18,-0.01,5.8,-3.36,0.58,2.43,5.8,1.55,0.22,12.43
77,Rudy Gay,F-G,SAS,66,2.43,0.92,1.51,0,4.49,-2.07,0.45,3.47,3.7,0.8,0.65,11.05
78,Zach LaVine,G-F,CHI,60,2.42,2.02,1.55,1.16,7.89,-5.47,0.83,2.47,7.63,2.03,0.49,15.04
79,Brook Lopez,C,MIL,68,2.4,1.65,0.82,0.07,3.87,-1.47,0.24,2.79,2.97,1.07,2.59,11.83
80,Kentavious Caldwell-Pope,G,LAL,69,2.4,1.67,0.86,0.13,3.72,-1.32,0.09,1.39,3.2,1.62,0.16,8.76
81,Harrison Barnes,F,SAC,72,2.36,2.6,0.54,0.79,4.91,-2.55,0.28,3.51,5.03,1.22,0.18,12.3
82,Lou Williams,G,LAC,65,2.36,0.51,1.57,-0.28,6.55,-4.19,0.76,1.69,11.49,1.37,0.28,17.19
83,Domantas Sabonis,F-C,IND,62,2.29,1.33,1.22,0.26,6.78,-4.48,-0.08,8.09,9.52,1.05,0.61,21.55
84,Richaun Holmes,F,SAC,43,2.28,2.18,0.47,0.37,3.66,-1.37,0.1,3.97,1.25,1.03,1.24,9.77
85,Bogdan Bogdanovic,G,SAC,61,2.27,1.89,0.54,0.16,4.8,-2.54,-0.07,1.72,6.87,1.66,0.33,12.85
86,Steven Adams,C,OKC,63,2.26,1.12,1.06,-0.07,4.49,-2.23,-0.96,7.21,4.66,1.64,1.3,17.07
87,DeAndre Jordan,C,BKN,55,2.25,1.34,1.09,0.18,3.83,-1.58,-0.26,5.99,3.44,0.61,1,13.29
88,Derrick Jones Jr.,F,MIA,57,2.2,1.99,0.57,0.35,2.85,-0.65,0.08,2.46,2.31,1.39,0.8,9.16
89,Fred VanVleet,G,TOR,54,2.15,1.31,1.17,0.33,5.07,-2.91,0.41,1.52,10.79,2.83,0.28,17.58
90,Kemba Walker,G,BOS,55,2.08,2.7,0.35,0.97,5.32,-3.23,0.66,2.14,8.62,1.05,0.43,14.32
91,Cameron Johnson,F,PHX,57,2.07,1.85,0.62,0.39,2.81,-0.74,0.09,1.73,1.95,0.78,0.31,6.84
92,Kyle Kuzma,F,LAL,61,2,0.66,1.42,0.09,3.97,-1.98,-0.03,2.36,2.47,0.53,0.39,7.75
93,Nerlens Noel,C-F,OKC,61,1.94,1.56,0.52,0.13,3.53,-1.59,0.06,3.16,1.78,1.42,1.44,9.75
94,Terry Rozier,G,CHA,62,1.93,1.51,0.78,0.36,5.74,-3.82,0.43,2.71,8.14,1.84,0.16,14.78
95,Josh Hart,G,NOP,61,1.92,1.25,0.79,0.13,3.62,-1.7,-0.12,3.74,3.62,1.53,0.32,11.12
96,Marvin Williams,F,CHA,41,1.91,0.87,1.01,-0.03,2.71,-0.8,0.15,0.99,1.59,0.57,0.36,5.42
97,George Hill,G,MIL,59,1.91,2.14,0.26,0.49,3.04,-1.13,0.27,1.77,4.75,1.23,0.12,9.77
98,Landry Shamet,G,LAC,53,1.89,1.61,0.6,0.31,2.77,-0.88,0.19,0.72,2.48,0.49,0.11,5.69
99,Kyle Korver,G-F,MIL,58,1.87,1.16,0.6,-0.1,2.73,-0.86,0.13,0.78,1.43,0.44,0.16,4.68
100,Luka Doncic,F-G,DAL,59,1.86,2.83,-0.44,0.53,8.53,-6.67,-0.11,5.54,18.72,1.3,0.26,27.69
101,Chris Boucher,F-C,TOR,62,1.84,1.32,0.76,0.24,2.34,-0.5,-0.02,2.48,0.64,0.44,0.94,6.34
102,Goran Dragic,G,MIA,58,1.84,1.03,0.89,0.08,5.24,-3.4,0.05,1.66,9.13,0.94,0.17,13.74
103,Mikal Bridges,F,PHX,73,1.84,2,0.31,0.48,3.61,-1.78,0.25,2.63,3.7,2.64,0.75,11.55
104,Dorian Finney-Smith,F,DAL,70,1.83,1.9,0.28,0.35,3.59,-1.76,-0.15,5.03,3.89,1.08,0.76,12.58
105,Zion Williamson,F,NOP,24,1.8,1.36,0.65,0.22,3.17,-1.37,-0.43,1.58,1.53,0.25,0.15,5.3
106,Kevin Love,F-C,CLE,55,1.76,1.9,0.14,0.28,5.02,-3.26,0.31,4.51,5.49,0.64,0.31,12.71
107,Danuel House Jr.,F-G,HOU,63,1.76,1.93,0.54,0.71,3,-1.24,0.19,2.5,2.39,1.74,0.54,8.94
108,Larry Nance Jr.,F-C,CLE,56,1.73,1.57,0.4,0.24,3.13,-1.4,-0.07,3.87,3.67,1.26,0.47,11
109,Alec Burks,G,GSW,47,1.71,1.37,0.95,0.61,3.49,-1.79,0.83,2.07,3.95,1.05,0.35,9.13
110,Dwight Howard,C-F,LAL,69,1.71,1.47,0.52,0.29,3.56,-1.85,-1.24,5.29,1.29,0.72,1.32,10.32
111,Dwight Powell,F-C,DAL,40,1.69,1.52,0.39,0.22,2.43,-0.74,-0.21,2.37,1.75,0.67,0.33,6.81
112,Jimmy Butler,F,MIA,58,1.68,2.22,0.07,0.61,4.94,-3.26,0.68,4.21,11.02,2.37,0.49,19.78
113,JaVale McGee,C-F,LAL,68,1.67,1.38,0.47,0.18,2.59,-0.92,-0.15,3.42,0.81,0.69,1.39,7.98
114,Mike Scott,F,PHI,68,1.64,1.15,0.64,0.14,2.3,-0.66,0.05,2.5,1.57,0.53,0.1,6.35
115,Jordan Clarkson,G,CLE,29,1.63,1.19,0.34,-0.1,2.47,-0.84,0.17,0.76,2.72,0.27,0.08,5.47
116,D'Angelo Russell,G,GSW,32,1.63,0.96,0.65,-0.01,4.09,-2.46,0.07,1.05,4.58,0.64,0.16,8.06
117,Eric Gordon,G,HOU,34,1.62,0.6,0.94,-0.07,2.49,-0.87,0.1,0.67,1.96,0.5,0.15,4.88
118,Aron Baynes,C-F,PHX,42,1.61,1.09,0.71,0.19,2.85,-1.24,-0.02,2.42,2.07,0.23,0.43,6.76
119,Carmelo Anthony,,POR,58,1.61,0.59,1.24,0.22,3.83,-2.22,0.29,3.31,2.47,1.1,0.58,9.07
120,Jae Crowder,F,MIA,19,1.57,1.28,0.35,0.06,1.84,-0.27,0.02,1.03,1.18,0.53,0.23,4.53
121,Patrick Patterson,F,LAC,58,1.56,0.95,0.78,0.17,1.96,-0.4,0.07,1.32,1,0.2,0.06,4.13
122,Kendrick Nunn,G,MIA,67,1.56,1.05,0.18,-0.33,3.99,-2.44,0.17,1.55,5.76,1.09,0.19,10.14
123,Al Horford,C-F,PHI,65,1.53,1.02,0.61,0.1,3.33,-1.8,0.13,4.35,8.45,1.14,1.13,16.61
124,Mason Plumlee,F-C,DEN,59,1.52,0.38,1.03,-0.11,3.26,-1.75,-0.91,3.46,5.45,0.67,0.71,11.8
125,Ivica Zubac,C,LAC,71,1.51,1.93,0.03,0.45,2.98,-1.47,0,5.44,2,0.31,1.12,10.38
126,Jamal Murray,G,DEN,58,1.51,1.52,0.37,0.38,4.64,-3.13,0.66,2.56,9,1.74,0.36,15.17
127,Myles Turner,C-F,IND,62,1.5,1.34,0.57,0.41,3.62,-2.12,0.16,4.37,2.33,1.33,2.52,12.06
128,Cody Zeller,F-C,CHA,58,1.5,1.14,0.49,0.13,3.49,-1.99,-0.25,4.47,2.73,0.86,0.44,10
129,Nikola Vucevic,C,ORL,59,1.49,2.63,0.13,1.27,4.04,-2.55,0.07,6.13,6.54,1.07,0.84,16.07
130,Terence Davis,G,TOR,72,1.49,1.11,0.98,0.6,2.83,-1.34,0.13,2.21,2.94,1.22,0.19,8.05
131,Jaxson Hayes,C-F,NOP,61,1.48,1.78,0.2,0.5,2.65,-1.17,-0.4,2.39,1.85,0.61,0.84,7.16
132,Tony Snell,G,DET,59,1.48,1.8,0.25,0.57,2.32,-0.84,0.12,0.9,3.57,0.75,0.29,6.98
133,Jeremy Lamb,G-F,IND,46,1.46,1.01,0.55,0.1,3.02,-1.56,0.22,1.79,2.95,1.26,0.38,7.84
134,Paul Millsap,F,DEN,50,1.45,1.33,0.37,0.25,3.19,-1.74,0.21,3.18,2.79,1.05,0.5,8.97
135,Derrick Favors,F,NOP,49,1.44,1.19,0.61,0.36,2.74,-1.29,-0.29,5.55,2.91,0.8,0.79,11.49
136,Eric Paschall,F,GSW,59,1.41,1.49,0.4,0.48,3.38,-1.97,0.09,2.32,3.51,0.53,0.11,7.88
137,Enes Kanter,C,BOS,57,1.41,0.97,0.58,0.14,2.63,-1.21,-0.06,4.51,1.72,0.5,0.66,8.79
138,Bam Adebayo,C-F,MIA,71,1.4,0.87,1.02,0.5,6.04,-4.64,-0.48,7.68,12.42,1.59,1.68,24.76
139,Nicolo Melli,F,NOP,60,1.39,0.62,0.54,-0.22,2.33,-0.94,0.02,1.4,2.65,0.74,0.43,6.6
140,Danny Green,G,LAL,68,1.39,0.94,0.41,-0.04,2.9,-1.51,-0.03,2.14,2.5,2.05,0.39,8.47
141,Austin Rivers,G,HOU,67,1.38,1.16,0.19,-0.03,2.4,-1.02,-0.11,1.2,3.34,0.93,0.16,7.01
142,Shake Milton,G-F,PHI,39,1.38,1,0.71,0.33,2.3,-0.92,0.2,0.73,2.86,0.34,0.12,5.42
143,Marco Belinelli,G,SAS,56,1.37,0.9,0.83,0.36,1.81,-0.44,0.08,0.78,2.03,0.23,0.01,4.42
144,Will Barton,G,DEN,57,1.37,1.42,0.16,0.2,3.93,-2.57,0.13,3.67,5.98,1.46,0.47,12.95
145,Kevin Huerter,G-F,ATL,56,1.36,0.63,0.81,0.08,3.56,-2.2,0.11,2.07,6.15,1.16,0.53,11.27
146,Ersan Ilyasova,F,MIL,63,1.34,1.22,0.41,0.28,1.9,-0.55,0.06,2.13,1.21,0.44,0.24,5.36
147,Deandre Ayton,C,PHX,36,1.34,1.03,0.6,0.29,3.17,-1.83,-0.06,4.74,2.05,0.54,0.91,9.58
148,Aaron Gordon,F,ORL,60,1.34,0.33,1.1,0.09,3.96,-2.62,-0.4,4.53,6.85,1.31,0.85,14.89
149,Lonnie Walker IV,G-F,SAS,61,1.34,0.04,0.93,-0.37,2.23,-0.89,0,1.17,1.98,0.79,0.2,5.49
150,Mike Muscala,F-C,OKC,46,1.32,0.68,0.79,0.15,1.64,-0.32,0.04,0.85,1.04,0.17,0.18,3.56
151,Dario Saric,F,PHX,65,1.32,1.61,0.28,0.58,3.35,-2.04,0.24,3.85,3.19,0.67,0.21,9.24
152,P.J. Washington,F,CHA,58,1.31,0.73,0.69,0.1,3.62,-2.31,-0.35,3.23,5.02,1.15,0.84,11.55
153,Lauri Markkanen,F-C,CHI,50,1.26,1.29,0.5,0.52,3.37,-2.11,0.33,2.94,2.8,0.95,0.44,8.4
154,Luke Kennard,G,DET,28,1.26,1.26,0.47,0.48,2.29,-1.03,0.2,0.8,3.01,0.22,0.07,5.36
155,Jevon Carter,G,PHX,58,1.26,0.58,0.55,-0.13,1.85,-0.59,0.01,0.91,2.5,1.01,0.23,5.91
